"Title","Link"
"New all-optical gray code converter circuit using nonlinear switching techniques based micro-ring resonator","https://www.scopus.com/pages/publications/85132563548?origin=resultslist"
"Quantum Synthesis of Large S-Boxes: Heuristic and MILP-Based Transpiled-Depth Optimization","https://www.scopus.com/pages/publications/105030544172?origin=resultslist"
"Conserved +1 translational frameshifting in the Saccharomyces cerevisiae gene encoding YPL034W","https://www.scopus.com/pages/publications/105023138014?origin=resultslist"
"Purity of an ST monad: Full abstraction by semantically typed back-translation","https://www.scopus.com/pages/publications/85129751817?origin=resultslist"
"Secure delivery of program properties through optimizing compilation","https://www.scopus.com/pages/publications/85082039223?origin=resultslist"
"Security in Cache Memory: Review","https://www.scopus.com/pages/publications/85056398266?origin=resultslist"
"FWS: Analyzing, maintaining and transcompiling firewalls","https://www.scopus.com/pages/publications/85100811022?origin=resultslist"
"SBAN: A Framework & Multi-Dimensional Dataset for Large Language Model Pre-Training and Software Code Mining","https://www.scopus.com/pages/publications/105035392815?origin=resultslist"
"BatakJava: An Object-Oriented Programming Language with Versions","https://www.scopus.com/pages/publications/85147042038?origin=resultslist"
"Assessing and improving syntactic adversarial robustness of pre-trained models for code translation","https://www.scopus.com/pages/publications/85218464515?origin=resultslist"
"On the Equivalence between Logic Programming and SETAF","https://www.scopus.com/pages/publications/105002100905?origin=resultslist"
"Identification of Urban Road Network's Critical Links Set under Emergency Environment","https://www.scopus.com/pages/publications/85050361791?origin=resultslist"
"Code2Text: Dual Attention Syntax Annotation Networks for Structure-Aware Code Translation","https://www.scopus.com/pages/publications/85092117204?origin=resultslist"
"Productive Programming of Distributed Systems with the SHAD C++ Library","https://www.scopus.com/pages/publications/85109567382?origin=resultslist"
"Kazakhstan","https://www.scopus.com/pages/publications/105033584348?origin=resultslist"
"Accessible Smart Contracts Verification: Synthesizing Formal Models with Tamed LLMs","https://www.scopus.com/pages/publications/105007545986?origin=resultslist"
"Is AI Better at Translating Specialized Language than NMT? A Case-Study of English, French and Croatian Cybersecurity Terminology","https://www.scopus.com/pages/publications/105045160812?origin=resultslist"
"Large Language Models for Code Translation: An In-Depth Analysis of Code Smells and Functional Correctness","https://www.scopus.com/pages/publications/105045955267?origin=resultslist"
"Heterogeneous parallelism and performance optimization based on Flink+TornadoVM","https://www.scopus.com/pages/publications/85201422993?origin=resultslist"
"Implementing Stable-Unstable Semantics with ASPTOOLS and Clingo","https://www.scopus.com/pages/publications/85123317694?origin=resultslist"
"Automatic translation of assembly shellcodes to printable byte codes","https://www.scopus.com/pages/publications/85044598263?origin=resultslist"
"Use It or Lose It: Cheap Compute Everywhere","https://www.scopus.com/pages/publications/85127071020?origin=resultslist"
"Graph theory-based automated quantum algorithm for efficient querying of acyclic and multiloop causal configurations","https://www.scopus.com/pages/publications/105047322187?origin=resultslist"
"Poster: An exploratory analysis to elicit requirements for avatar-based interfaces aimed at the deaf community","https://www.scopus.com/pages/publications/85173656282?origin=resultslist"
"Applying Visible Strong Equivalence in Answer-Set Program Transformations","https://www.scopus.com/pages/publications/85096550790?origin=resultslist"
"Enhancing AI-based Generation of Software Exploits with Contextual Information","https://www.scopus.com/pages/publications/85214570433?origin=resultslist"
"Binary image encryption in a joint transform correlator scheme by aid of run-length encoding and QR code","https://www.scopus.com/pages/publications/85040360052?origin=resultslist"
"LLM2FedLLM - A Tool for Simulating Federated LLMs for Software Engineering Tasks","https://www.scopus.com/pages/publications/105009098949?origin=resultslist"
"Computation focusing","https://www.scopus.com/pages/publications/85090292100?origin=resultslist"
"Developing nursing and allied health professional leaders: the wider impact of a professional development initiative on leadership","https://www.scopus.com/pages/publications/105005102917?origin=resultslist"
"To Tag, or Not to Tag: Translating C's Unions to Rust's Tagged Unions","https://www.scopus.com/pages/publications/85212408049?origin=resultslist"
"OPL4GPT: An Application Space Exploration of Optimal Programming Language for Hardware Design by LLM","https://www.scopus.com/pages/publications/105000379082?origin=resultslist"
"C Program Partitioning with Fine-Grained Security Constraints and Post-Partition Verification","https://www.scopus.com/pages/publications/85147331565?origin=resultslist"
"Cpp2Rust: Automatic Translation of C++ to Safe Rust","https://www.scopus.com/pages/publications/105041529927?origin=resultslist"
"DarthShader: Fuzzing WebGPU Shader Translators & Compilers","https://www.scopus.com/pages/publications/85215516672?origin=resultslist"
"OpenACC Execution Models for Manycore Processor with ARM SVE","https://www.scopus.com/pages/publications/85147732331?origin=resultslist"
"Automatic vectorization of stencil codes with the GGDML language extensions","https://www.scopus.com/pages/publications/85067175402?origin=resultslist"
"Concolic Testing for Quantum Compilers","https://www.scopus.com/pages/publications/105032511445?origin=resultslist"
"Heterogeneous Control Platform Design for Power Conversion Systems","https://www.scopus.com/pages/publications/85124586227?origin=resultslist"
"An implementation of LLVM pass for loop parallelization based on IR-level directives","https://www.scopus.com/pages/publications/85061432797?origin=resultslist"
