"Title","Link"
"F-IKOS: An Abstract Interpretation-based Static Analyzer for Fortran Programs","https://www.scopus.com/pages/publications/85213694607?origin=resultslist"
"BoostPolyGlot: A Structured IR Generation-Based Fuzz Testing Framework for GCC Compiler Frontend","https://www.scopus.com/pages/publications/105007730935?origin=resultslist"
"Automating Zero-Shot Patch Porting for Hard Forks","https://www.scopus.com/pages/publications/85205542583?origin=resultslist"
"NMT vs MLM: Which is the Best Paradigm for APR?","https://www.scopus.com/pages/publications/85201730567?origin=resultslist"
"Implementation of EXOR and Subsequent Modular Circuits for Application at Nanoscale Level","https://www.scopus.com/pages/publications/105001859413?origin=resultslist"
"Quantum Computing Methods for Malware Detection","https://www.scopus.com/pages/publications/105023349604?origin=resultslist"
"&inator: Correct, Precise C-to-Rust Interface Translation","https://www.scopus.com/pages/publications/105041562407?origin=resultslist"
"Tensor-based quantum phase difference estimation for large-scale demonstration","https://www.scopus.com/pages/publications/105012105752?origin=resultslist"
"Accessible Smart Contracts Verification: Synthesizing Formal Models with Tamed LLMs","https://www.scopus.com/pages/publications/105007545986?origin=resultslist"
"Is AI Better at Translating Specialized Language than NMT? A Case-Study of English, French and Croatian Cybersecurity Terminology","https://www.scopus.com/pages/publications/105045160812?origin=resultslist"
"Can GPT Technology Overcome the Techno-Linguistic Bias in Machine Translation?","https://www.scopus.com/pages/publications/105019256801?origin=resultslist"
"Automated Generation of Software-Based Self-Test From ATPG Patterns Targeting Transition Delay Faults in the Decode Stage of the RISC-V-Based Microcontrollers","https://www.scopus.com/pages/publications/105048749088?origin=resultslist"
"Differential Testing for Sequential to Parallel Transformations","https://www.scopus.com/pages/publications/105023392595?origin=resultslist"
"Cross-platform and polyhedral programming for Nussinov RNA folding","https://www.scopus.com/pages/publications/86000439002?origin=resultslist"
"A Case for Synthesis of Recursive Quantum Unitary Programs","https://www.scopus.com/pages/publications/85182270058?origin=resultslist"
"Large Language Models for Code Translation: An In-Depth Analysis of Code Smells and Functional Correctness","https://www.scopus.com/pages/publications/105045955267?origin=resultslist"
"Bounded Verification of Atomicity Violations for Interrupt-Driven Programs via Lazy Sequentialization","https://www.scopus.com/pages/publications/86000361434?origin=resultslist"
"Defining Algebraic Effects and Handlers via Trails and Metacontinuations","https://www.scopus.com/pages/publications/105020675474?origin=resultslist"
"Diffusion vs Autoregression: An Empirical Study on Code Comment Translation","https://www.scopus.com/pages/publications/105032889573?origin=resultslist"
"Towards a Safe, Verified Runtime Monitor for Embedded Systems: R2U2 in Embedded Rust","https://www.scopus.com/pages/publications/105008765205?origin=resultslist"
"Programming the translational landscape for predictable gene expression","https://www.scopus.com/pages/publications/105042462682?origin=resultslist"
"Tiaozhuan: A General and Efficient Indirect Branch Optimization for Binary Translation","https://www.scopus.com/pages/publications/105003629745?origin=resultslist"
"Research on Semantic Accuracy Improvement of English Translation Software Based on Natural Language Processing","https://www.scopus.com/pages/publications/105008353575?origin=resultslist"
"Beyond Accuracy: Evaluating and Explaining the Capability Boundaries of Large Language Models in Syntax-Preserving Code Translation","https://www.scopus.com/pages/publications/105024561945?origin=resultslist"
"Digital quantum simulation of cavity quantum electrodynamics: insights from superconducting and trapped ion quantum testbeds","https://www.scopus.com/pages/publications/105018076774?origin=resultslist"
"OPL4GPT: An Application Space Exploration of Optimal Programming Language for Hardware Design by LLM","https://www.scopus.com/pages/publications/105000379082?origin=resultslist"
"Automated Translation Validation of a Compiler for Statically Scheduled Accelerators","https://www.scopus.com/pages/publications/105034267467?origin=resultslist"
"Rosetta-XAI: An automated evaluation and explainability framework for code translation models","https://www.scopus.com/pages/publications/105034451479?origin=resultslist"
"gCAMB: A GPU-accelerated Boltzmann solver for next-generation cosmological surveys","https://www.scopus.com/pages/publications/105023481056?origin=resultslist"
"Specifying and Verifying Programs Over the MCA ARMv8 Architecture with TLA+","https://www.scopus.com/pages/publications/105009265482?origin=resultslist"
"Cpp2Rust: Automatic Translation of C++ to Safe Rust","https://www.scopus.com/pages/publications/105041529927?origin=resultslist"
"DarthShader: Fuzzing WebGPU Shader Translators & Compilers","https://www.scopus.com/pages/publications/85215516672?origin=resultslist"
"Evaluating Calibration-Based Digital Twins for IBM Quantum Hardware Simulation","https://www.scopus.com/pages/publications/105042362944?origin=resultslist"
"Design and analysis of a fault tolerance nano-scale code converter based on quantum-dots","https://www.scopus.com/pages/publications/85201494824?origin=resultslist"
"PERFORMANCE ANALYSIS OF PSEUDORANDOM ABSOLUTE POSITION ENCODER WITH EMBEDDED SERIAL PSEUDORANDOM/NATURAL CODE CONVERTER","https://www.scopus.com/pages/publications/105002085404?origin=resultslist"
"An Experience Report on LLM-Based Agentic Translation from Android to iOS: Pitfalls and Insights","https://www.scopus.com/pages/publications/105046242621?origin=resultslist"
"Simon’s Algorithm in the NISQ Cloud","https://www.scopus.com/pages/publications/105011697411?origin=resultslist"
"ChatPORT: Fine-Tuned LLM for Easy Code {PORT}ing","https://www.scopus.com/pages/publications/105019300947?origin=resultslist"
"Revisiting Noise-adaptive Transpilation in Quantum Computing: How Much Impact Does it Have?","https://www.scopus.com/pages/publications/105029358086?origin=resultslist"
"Orbit-attitude coupled guidance and control for constrained trajectory generation and tracking during final approach to non-cooperative spacecraft","https://www.scopus.com/pages/publications/105029018139?origin=resultslist"
"Concolic Testing for Quantum Compilers","https://www.scopus.com/pages/publications/105032511445?origin=resultslist"
"Being yourself is a defect: analysis of documented rights violations related to sexual orientation, gender identity and HIV in 2022 using the REAct system in six eastern European, Caucasus and Central Asian countries","https://www.scopus.com/pages/publications/85198734645?origin=resultslist"
"Binocular Non-Cycloplegic Ocular Parameters for Modeling Cycloplegic SER in Children","https://www.scopus.com/pages/publications/105045191535?origin=resultslist"
"Optimization driven quantum circuit reduction","https://www.scopus.com/pages/publications/105019689858?origin=resultslist"
"Tabby: A Synthesis-Aided Compiler for High-Performance Zero-Knowledge Proof Circuits","https://www.scopus.com/pages/publications/105018668490?origin=resultslist"
"Calibration-Aware Bit-Flip Averaging For Quantum Error Mitigation","https://www.scopus.com/pages/publications/105042762738?origin=resultslist"
"Continuous Voltage Ride Through Segmentation Control Strategy for PMSG-based Wind Power Integrated Systems With Dynamic Reactive Current Scale Factor; [变无功电流比例系数的直驱风电并网系统电压连续穿越控制策略]","https://www.scopus.com/pages/publications/85207151799?origin=resultslist"
"A Method for the Verification of Memory Management Software in the Presence of TLBs","https://www.scopus.com/pages/publications/105034258656?origin=resultslist"
"Fault-tolerant universal quantum computation via surface code conversion; [基于码转换的表面码容错通用量子计算实现方法]","https://www.scopus.com/pages/publications/105037222170?origin=resultslist"
"Explain in Plain Language Questions with Indic Languages: Drawbacks, Affordances, and Opportunities","https://www.scopus.com/pages/publications/105001240564?origin=resultslist"
"Polyglot: An Extensible Framework to Benchmark Code Translation with LLMs","https://www.scopus.com/pages/publications/105034644111?origin=resultslist"
"Formal Verification of Legal Contracts: A Translation-Based Approach","https://www.scopus.com/pages/publications/105022939981?origin=resultslist"
"AltGraph: Redesigning Quantum Circuits Using Generative Graph Models for Efficient Optimization","https://www.scopus.com/pages/publications/85197868848?origin=resultslist"
"An Encoding ASIC With Real-Time Correction for Inductive Angular Sensing Systems","https://www.scopus.com/pages/publications/85209084629?origin=resultslist"
"Translate With Care: Addressing Gender Bias, Neutrality, and Reasoning in Large Language Model Translations","https://www.scopus.com/pages/publications/105028642076?origin=resultslist"
"Energy-efficient code conversion using quantum-dot nano-architectures for Internet of Things (IoT) applications","https://www.scopus.com/pages/publications/105027403963?origin=resultslist"
"RoboPrec: Enabling Reliable Embedded Computing for Robotics by Providing Accuracy Guarantees Across Mixed-Precision Datatypes","https://www.scopus.com/pages/publications/105024464266?origin=resultslist"
"Neural Network Models for Cross-Language Code Synthesis and Translation","https://www.scopus.com/pages/publications/105030337085?origin=resultslist"
"PyLC+: A Scalable Python Framework for Automated Translation and Testing of Industrial PLC Programs","https://www.scopus.com/pages/publications/105016253942?origin=resultslist"
"The Quantum Imitation Game: Reverse Engineering of Quantum Machine Learning Models","https://www.scopus.com/pages/publications/85214089631?origin=resultslist"
"Fully Verified Instruction Scheduling","https://www.scopus.com/pages/publications/85206813633?origin=resultslist"
"Authentication based on voice passwords with the biometric template protection using correlation neurons; [Аутентификация по голосовым паролям с обеспечением конфиденциальности биометрических данных на основе корреляционных нейронов]","https://www.scopus.com/pages/publications/85200412164?origin=resultslist"
"The use of Software Testing Techniques in Software Development: Literature Review","https://www.scopus.com/pages/publications/85214899183?origin=resultslist"
"Project Phoenix – Resurrecting ASAPS, an Obsolete IDN Authoring System Using Generative AI","https://www.scopus.com/pages/publications/105023820903?origin=resultslist"
"Program Queue Analysis for Forensics of Quantum Backends","https://www.scopus.com/pages/publications/105042193937?origin=resultslist"
"Language Twin: A Shared-State Architecture for Terminology-Consistent Document Translation with Human-Edit Propagation: A Pilot Study","https://www.scopus.com/pages/publications/105037064304?origin=resultslist"
"Modular Reasoning About Object Relations","https://www.scopus.com/pages/publications/105047057056?origin=resultslist"
"Insights from Bugs in FPGA High-Level Synthesis Tools: An Empirical Study of Bambu Bugs","https://www.scopus.com/pages/publications/105002607495?origin=resultslist"
"CrossShellAgent: Resolving Text-Object Pipeline Impedance in Bash-to-PowerShell Translation","https://www.scopus.com/pages/publications/105050578428?origin=resultslist"
"Knowledge Transfer from High-Resource to Low-Resource Programming Languages for Code LLMs","https://www.scopus.com/pages/publications/85204812260?origin=resultslist"
"Case Study: UVM-FIE: Enhancing UVM-Based Fault Injection Library for Complex Designs","https://www.scopus.com/pages/publications/105004729913?origin=resultslist"
"Grammar- and Coverage-based Augmentation of Programs for Training LLMs","https://www.scopus.com/pages/publications/105033643721?origin=resultslist"
"An Integrator Time-Constant Calibration Scheme with Modified Voltage to Digital Converter","https://www.scopus.com/pages/publications/85213382123?origin=resultslist"
"Space-Efficient Polymorphic Gradual Typing, Mostly Parametric","https://www.scopus.com/pages/publications/85196782486?origin=resultslist"
"One Size Does Not Fit All: Multi-granularity Patch Generation for Better Automated Program Repair","https://www.scopus.com/pages/publications/85205532694?origin=resultslist"
"SolMover: Feasibility of Using LLMs for Translating Smart Contracts","https://www.scopus.com/pages/publications/85203490317?origin=resultslist"
"Relational Hoare Logic for High-Level Synthesis of Hardware Accelerators","https://www.scopus.com/pages/publications/105044414638?origin=resultslist"
"Efficient Transpilation of OpenQASM 3.0 Dynamic Circuits to CUDA-Q: Performance and Expressiveness Advantages","https://www.scopus.com/pages/publications/105040805471?origin=resultslist"
"VULTERMINATOR: Bringing Back Template-Based Automated Repair for Fixing Java Vulnerabilities","https://www.scopus.com/pages/publications/105045102967?origin=resultslist"
"Area and Power Modeling of FPGA Based Binary-to-Gray Code Converter Circuit for Rotary Encoder","https://www.scopus.com/pages/publications/105008419339?origin=resultslist"
"FLASH: An Abstract Machine for Modelling Fully Homomorphic Encryption Accelerators","https://www.scopus.com/pages/publications/105031888853?origin=resultslist"
"Generative AI for Code Translation: A Systematic Mapping Study †","https://www.scopus.com/pages/publications/105034126052?origin=resultslist"
"Semantic Error Detection in Code Translation Using Knowledge-Driven Static Analysis with AI Chain","https://www.scopus.com/pages/publications/85210260280?origin=resultslist"
"Kolmogorov-Arnold Networks-Based Calibration for Single-Channel ADCs: High-Precision Nonlinear Code Synthesis With Low Power Consumption","https://www.scopus.com/pages/publications/105002744154?origin=resultslist"
"QiMeng-MuPa: Mutual-Supervised Learning for Sequential-to-Parallel Code Translation","https://www.scopus.com/pages/publications/105048516767?origin=resultslist"
"Compiler-Directed Migrating API Callsite of Client Code","https://www.scopus.com/pages/publications/85196802216?origin=resultslist"
"Hestia: An Efficient Cross-Level Debugger for High-Level Synthesis","https://www.scopus.com/pages/publications/85213369278?origin=resultslist"
"IntrinTrans: LLM-based Intrinsic Code Translator for RISC-V Vector","https://www.scopus.com/pages/publications/105044955521?origin=resultslist"
"Proof Repair Utilizing Large Language Models: A Case Study on the Copland Remote Attestation Proofbase","https://www.scopus.com/pages/publications/85215782629?origin=resultslist"
"Cross-Language Code Development with Generative AI: A Source-to-Source Translation Perspective","https://www.scopus.com/pages/publications/85205675902?origin=resultslist"
"Multilingual Code Comment Translation: A Case Study on Chinese, English, and Russian","https://www.scopus.com/pages/publications/105032876039?origin=resultslist"
"Unleashing Optimization in Dynamic Circuits through Branch Expansion","https://www.scopus.com/pages/publications/105014909091?origin=resultslist"
"Vibration Characteristics While Machining Various Materials Using a Four-Axis Milling Machine","https://www.scopus.com/pages/publications/85207817562?origin=resultslist"
"CARL: Unsupervised Code-Based Adversarial Attacks for Programming Language Models via Reinforcement Learning","https://www.scopus.com/pages/publications/85208921249?origin=resultslist"
"MoSE: Hierarchical Self-Distillation Enhances Early Layer Embeddings","https://www.scopus.com/pages/publications/105034963069?origin=resultslist"
"Software Defect Prediction Model Based on Syntactic Semantics and Flow Information Features","https://www.scopus.com/pages/publications/85216923848?origin=resultslist"
"Hybrid Real-Time Intelligent Code Translator","https://www.scopus.com/pages/publications/105041744457?origin=resultslist"
"Novel Design of EXOR Gate and its Application for Circuits using QCA Nanotechnology","https://www.scopus.com/pages/publications/105007304681?origin=resultslist"
"Velosiraptor: Code Synthesis for Memory Translation","https://www.scopus.com/pages/publications/105002566323?origin=resultslist"
"Automating Component-Based Embedded Software Construction via Formal Synthesis and LLMs","https://www.scopus.com/pages/publications/105003860970?origin=resultslist"
"Evaluating Terminology Translation in Machine Translation Systems via Metamorphic Testing","https://www.scopus.com/pages/publications/85212432471?origin=resultslist"
"Dependent Ghosts Have a Reflection for Free","https://www.scopus.com/pages/publications/85201675721?origin=resultslist"
"Type-migrating C-to-Rust translation using a large language model","https://www.scopus.com/pages/publications/85206634030?origin=resultslist"
"Semantic Structure Invariance-Based Metamorphic Testing for Machine Translation Systems","https://www.scopus.com/pages/publications/85214813520?origin=resultslist"
"Bridging the Procedural Code Gap: Agentic Database Migration with Execution-Grounded Validation","https://www.scopus.com/pages/publications/105044137238?origin=resultslist"
"Design and evaluation of an energy efficient Parity generator checker and Binary to Gray converter for Smart Devices","https://www.scopus.com/pages/publications/105041770864?origin=resultslist"
"Leveraging Conversational AI for Accelerating User-Driven Software Testing","https://www.scopus.com/pages/publications/85219193014?origin=resultslist"
"Transpiling with LLMs for Energy Efficiency","https://www.scopus.com/pages/publications/105044699117?origin=resultslist"
"BatFix: Repairing language model-based transpilation","https://www.scopus.com/pages/publications/85198857460?origin=resultslist"
"COB2PY - A Non-AI, Rule-Based COBOL to Python Translator","https://www.scopus.com/pages/publications/105022468327?origin=resultslist"
"Synchronous Programming with Refinement Types","https://www.scopus.com/pages/publications/85201702040?origin=resultslist"
